차타, 73, 150
사차, 99, 162
나사, 64, 166
마다, 51, 160
바차, 47, 178
타하, 98, 194
다파, 82, 168
파차, 84, 155
카자, 90, 191
사나, 85, 169
라하, 60, 170
자카, 91, 140
나라, 45, 176
아바, 52, 146
파나, 95, 172
사자, 82, 180
파파, 73, 140
하다, 55, 184
사사, 40, 169
가사, 77, 149
타아, 98, 179
가다, 90, 178
아카, 40, 166
카사, 83, 170
파마, 93, 191
바다, 69, 174
아바, 45, 182
하타, 89, 159
바타, 95, 171
다나, 95, 162
카카, 48, 163
가하, 52, 187
아타, 48, 174
나라, 54, 193
마사, 71, 161
자차, 82, 161
자나, 76, 166
아나, 69, 148
카마, 96, 163
마차, 87, 149
아라, 69, 154
타가, 50, 166
카파, 78, 151
마차, 50, 155
타타, 75, 152
카타, 82, 156
아차, 51, 159
하가, 63, 141
타나, 87, 164
사바, 50, 162
타자, 51, 178
라자, 84, 195
마가, 49, 140
타마, 85, 175
차다, 62, 198
아하, 43, 195
라라, 72, 151
하하, 53, 165
마차, 58, 174
가카, 92, 196
파차, 70, 161
나마, 55, 140
차사, 79, 187
하자, 94, 177
라카, 66, 154
타차, 64, 169
자아, 51, 145
아라, 86, 147
가바, 70, 169
나차, 46, 180
라사, 66, 144
타파, 50, 156
바아, 42, 164
다나, 81, 167
타카, 49, 143
파타, 47, 148
차하, 50, 142
라자, 41, 172
하라, 69, 196
파라, 84, 154
라파, 48, 193
사자, 51, 192
나아, 69, 171
하하, 99, 178
카차, 62, 172
자다, 58, 182
바타, 95, 184
나자, 81, 179
차차, 97, 191
다파, 92, 184
파카, 83, 191
사바, 81, 187
차가, 63, 193
하아, 42, 198
라가, 81, 143
아라, 73, 179
다다, 86, 169
아마, 69, 153
바바, 58, 145
카바, 66, 142
타가, 64, 165
다바, 86, 188
마나, 45, 177
아다, 80, 169
가아, 54, 151
파하, 73, 171
가카, 70, 157
카카, 49, 153
파파, 84, 191
가라, 79, 186
자차, 80, 182
자바, 41, 179
아파, 48, 155
파아, 40, 167
아아, 42, 157
하라, 90, 184
차다, 85, 142
아나, 53, 177
마가, 96, 158
바나, 81, 154
자카, 58, 152
라사, 60, 178
파다, 52, 161
타다, 75, 167
차아, 75, 191
나카, 62, 152
차하, 56, 193
하아, 60, 149
가바, 71, 183
아카, 69, 192
마나, 52, 157
아차, 87, 159
차다, 98, 154
마파, 85, 146
아차, 73, 170
하가, 41, 158
마나, 60, 181
하나, 42, 190
파다, 52, 183
가타, 64, 148
카사, 98, 163
차자, 40, 176
바아, 92, 196
바타, 96, 195
가마, 69, 153
사가, 64, 150
카자, 59, 194
사사, 72, 155
파하, 95, 196
아가, 71, 162
바타, 95, 173
카나, 40, 196
라아, 88, 192
차가, 81, 163
카라, 70, 179
하사, 84, 150
카타, 77, 199
자나, 43, 195
바자, 92, 161
사하, 64, 146
자다, 73, 142
가라, 96, 188
다가, 71, 188
파바, 88, 169
아가, 97, 180
하타, 54, 186
카다, 42, 160
라아, 89, 172
사파, 90, 171
마차, 50, 174
다다, 48, 172
카타, 70, 186
다사, 80, 178
마타, 43, 180
마라, 49, 198
차나, 71, 185
아차, 76, 194
타타, 46, 155
가하, 75, 150
카하, 93, 170
마하, 45, 171
바아, 90, 188
다자, 85, 178
타카, 97, 143
가아, 93, 184
카차, 63, 159
타파, 58, 184
다자, 98, 187
나사, 76, 181
나나, 96, 167
가아, 90, 149
바차, 70, 144
타다, 41, 187
사다, 58, 194
타아, 86, 190
아차, 55, 180
자라, 41, 151
라라, 60, 185
타타, 66, 152
라자, 75, 146
마다, 92, 145
라차, 48, 186
다마, 59, 199
카파, 43, 175
나나, 51, 146
나사, 57, 145
자사, 43, 173
마하, 91, 144
라나, 40, 146
마파, 47, 155
사타, 70, 153
사파, 76, 142
타아, 72, 196
나바, 83, 168
아하, 91, 153
가카, 89, 182
가자, 63, 148
아마, 95, 146
하파, 43, 178
라카, 50, 169
가타, 97, 198
다가, 47, 150
사다, 79, 151
다다, 65, 156
파다, 76, 188
차타, 72, 170
나나, 53, 150
다차, 89, 181
차라, 94, 148
바카, 61, 189
파파, 66, 169
다아, 98, 146
사나, 77, 142
마사, 78, 195
다카, 76, 177
사카, 63, 173
바카, 52, 159
타아, 73, 154
카마, 95, 185
카나, 57, 160
사카, 72, 193
타아, 83, 140
바라, 86, 198
하카, 70, 160
차자, 71, 197
자나, 57, 144
카마, 40, 155
라다, 48, 157
가타, 86, 180
카카, 73, 180
바아, 48, 156
사타, 83, 172
자바, 77, 172
아라, 81, 144
라타, 73, 144
파자, 76, 177
카마, 87, 177
사마, 91, 146
가차, 49, 152
가파, 92, 152
하아, 55, 186
차나, 88, 181
바아, 95, 168
타사, 53, 153
다바, 69, 189
하다, 50, 181
파바, 83, 192
가바, 63, 197
다가, 46, 198
나다, 66, 174
타타, 45, 142
나아, 43, 196
라바, 45, 170
타사, 94, 144
바타, 50, 197
다하, 69, 151
아파, 69, 158
다아, 59, 149
다카, 74, 154
마아, 95, 164
사바, 88, 174
아가, 73, 147
자바, 49, 191
파라, 69, 191
사라, 98, 181
파카, 58, 186
파카, 58, 148
바파, 73, 173
바하, 60, 190
바자, 82, 144
자다, 68, 165
카타, 54, 186
자나, 42, 155
하라, 93, 194
가타, 66, 194
마사, 42, 185
가나, 77, 182
파파, 79, 143
아하, 76, 195
다마, 57, 172
하가, 61, 191
마다, 44, 190
하다, 57, 171
라나, 83, 150
자나, 73, 171
가마, 66, 183
라카, 97, 146
타마, 57, 142
사타, 57, 183
마사, 89, 145
사자, 94, 148
아차, 72, 184
아라, 66, 149
파가, 44, 161
가파, 84, 157
아파, 43, 193
카차, 95, 151
나카, 90, 190
나다, 82, 170
자파, 42, 153
바바, 79, 152
사차, 96, 187
바카, 67, 193
아카, 41, 162
차자, 54, 174
타사, 91, 165
마타, 58, 194
나자, 81, 178
아라, 93, 155
사나, 79, 144
마하, 68, 189
바카, 95, 187
가카, 64, 152
다카, 67, 171
아카, 49, 172
하가, 79, 147
나카, 69, 159
아마, 75, 170
카자, 89, 195
하카, 77, 156
아파, 82, 162
파라, 40, 140
나바, 94, 162
가차, 99, 166
하아, 58, 181
다하, 71, 198
사나, 72, 186
라가, 92, 169
바카, 54, 149
아가, 98, 149
하카, 91, 188
자타, 86, 171
바바, 53, 191
아사, 67, 169
라바, 80, 166
바마, 99, 190
바자, 78, 177
나나, 63, 152
카아, 69, 168
아하, 64, 183
바라, 84, 177
자나, 79, 158
다카, 76, 189
카마, 59, 150
아하, 46, 146
타파, 93, 151
카마, 77, 155
아자, 80, 185
사차, 82, 147
마나, 45, 180
파카, 42, 167
바나, 61, 151
사다, 55, 144
아아, 49, 149
파바, 93, 196
아차, 41, 182
차마, 72, 181
나라, 90, 196
가바, 52, 185
사자, 68, 154
다카, 53, 157
다자, 68, 197
마라, 76, 176
타사, 97, 166
차사, 74, 145
파가, 89, 168
나라, 70, 193
바바, 87, 188
자라, 67, 145
자가, 46, 150
가자, 72, 166
아바, 78, 147
하하, 62, 192
카차, 65, 154
타자, 41, 163
사파, 52, 166
차바, 77, 169
다카, 80, 149
다다, 80, 191
라타, 65, 196
카마, 62, 163
사나, 67, 163
하자, 82, 195
아나, 51, 194
자가, 86, 150
아아, 84, 146
나차, 66, 179
라차, 50, 165
차마, 91, 156
타바, 44, 165
가라, 73, 186
가카, 54, 194
자라, 67, 194
바가, 56, 176
라차, 51, 177
라자, 73, 151
아바, 85, 159
하사, 46, 195
차타, 75, 181
차나, 68, 178
아마, 61, 164
카다, 99, 172
카파, 98, 193
마사, 86, 164
사카, 71, 172
아나, 63, 156
타카, 62, 140
아아, 56, 172
하바, 60, 168
가타, 45, 195
나자, 92, 192
나라, 55, 180
자자, 54, 189
나마, 95, 140
차마, 49, 162
차가, 62, 171
나차, 71, 140
카자, 76, 195
나하, 97, 141
차나, 78, 181
마하, 66, 152
카바, 65, 190
카하, 65, 178
아라, 66, 141
파파, 52, 169
사타, 86, 142
나차, 58, 183
파바, 82, 157
라라, 86, 170
카다, 94, 187
다아, 77, 190
사카, 83, 146
나마, 63, 151
라파, 66, 153
나타, 51, 159
차차, 47, 152
라아, 94, 141
파카, 46, 164
사가, 93, 158
파카, 52, 164
차라, 75, 164
차다, 48, 155
나나, 72, 164
다아, 96, 145
파라, 47, 151
타나, 54, 142
하아, 69, 163
파차, 89, 158
타바, 40, 156
라라, 97, 194
다파, 48, 188
자하, 80, 187
파아, 58, 186
자나, 71, 182
카하, 79, 145
차가, 72, 181
차자, 57, 178
카다, 49, 174
차카, 55, 152
나다, 52, 151
나가, 84, 192
바마, 81, 150
자마, 98, 151
다사, 97, 196
라바, 74, 165
다사, 47, 168
가차, 87, 181
바가, 65, 163
다차, 72, 141
라하, 82, 141
마타, 50, 171
다하, 67, 186
나하, 80, 166
나아, 95, 164
나바, 53, 147
다파, 93, 149
차라, 89, 172
사다, 42, 172
타차, 42, 178
아파, 44, 182
아타, 98, 169
다다, 95, 168
가마, 51, 151
차사, 88, 157
라아, 71, 196
가아, 92, 156
하라, 64, 162
아사, 72, 170
